Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
leungy23/Noir2,0,0,0,0,2024-04-24,Roff,1
microbecode/aztec-fiddling,0,0,0,0,2022-11-29,Solidity,1
Destiner/tickerchat,0,0,0,0,2024-11-29,TypeScript,1
Blankeeir/recursion_noir,0,0,0,0,2024-10-23,Solidity,1
kamalbuilds/aztec-private-dapp,0,0,0,0,2024-04-29,TypeScript,1
Louis-Amas/darkforest-noir,0,0,0,0,2022-11-30,TypeScript,1
casiojapi/noir-telegram-bot,0,0,0,0,2024-12-09,JavaScript,1
badgooooor/noir-dot-matrix,0,0,0,0,2024-09-16,Solidity,1
ofemeteng/vora-wallet,0,1,2,4,2024-09-19,TypeScript,2
jereldlimjy/rock-scroll-scissors,0,0,0,0,2024-04-30,Solidity,1
mr-harshtyagi/Eco-Track,0,0,0,0,2024-04-30,Solidity,1
ETIM-PAUL/ZKEvent,0,1,0,0,2024-05-23,Solidity,1
dan-aztec/noir-succinct-template,0,1,0,2,2023-11-27,Solidity,3
kapow-tech/Swoir,0,0,0,0,2024-11-25,Swift,2
vibern0/web3-experiments-proof-of-concepts,0,0,0,0,2024-03-12,TypeScript,1
ofemeteng/vora-explorer,0,0,0,0,2024-09-22,TypeScript,2
zac-williamson/noir-dependency-womp,0,0,0,0,2024-07-24,Roff,1
ehsan-g/aztec-txe,0,2,0,1,2024-08-28,Roff,1
AztecProtocol/token-partition-table,0,0,0,0,2024-04-29,TypeScript,1
Slokh/demo-issue,0,0,0,0,2024-12-03,TypeScript,1
FilipHarald/aztec-token-bridge-tutorial,0,0,0,0,2024-08-27,Solidity,1
defi-wonderland/aztec-coin-toss,0,0,0,10,2023-12-21,Rust,4
iAmMichaelConnor/debug-bignum-refactor,0,0,0,0,2024-10-22,Noir,1
Maddiaa0/indexed-tree-nr,0,0,0,0,2023-06-09,Roff,1
noir-lang/noir_check_shuffle,0,0,1,1,2024-09-03,Roff,1
AnoyRC/ShamirNoir,0,0,0,0,2024-10-30,Noir,1
FilipHarald/min-repro-aztec-2,0,0,0,0,2024-09-03,Roff,1
porco-rosso-j/aztec-packages-aztec-bb,0,0,0,2,2024-12-12,C++,109
amiller/noir-microbenchmarks,0,0,0,0,2024-03-27,Roff,1
saRvaGnyA/ETH-Mumbai-2024,0,0,0,0,2024-04-03,TypeScript,46
ly0va/thesis,0,0,0,0,2023-05-31,Solidity,1
Mautjee/noir-next-hardhat-example,0,0,0,0,2023-07-02,Solidity,1
FilipHarald/min-repro-aztec-3,0,0,0,0,2024-09-03,Roff,1
superaprile/thesis,0,0,0,0,2024-12-06,Solidity,1
Stack-Too-Deep/Thunder,0,1,0,4,2024-05-30,Solidity,3
Oscar11800/exponential_elgamal,0,0,0,0,2024-08-15,Makefile,1
jonybur/fuzzy-tester,0,0,0,0,2023-10-03,JavaScript,1
CuriaLab/passport-attestation,0,0,0,0,2024-08-06,Solidity,1
manylov/noir-25-recursive-issue,0,0,0,0,2024-03-18,Solidity,1
hackathon-Eth/eth-global,0,1,1,7,2023-10-21,Solidity,4
hooperben/pubtc,0,0,0,0,2024-12-01,Solidity,1
oxor-io/samm-circuits,0,0,0,2,2024-11-05,Solidity,3
dbanks12/aztec-packages,0,0,0,0,2023-11-29,C++,77
peitalin/noir-astar-pathfinding,0,0,0,0,2024-06-13,Solidity,1
puzzlehq/sandcastle,0,0,0,0,2023-10-24,TypeScript,1
vibern0/web3-experiments-tools-protocols,0,0,0,0,2024-03-21,Roff,1
alexghr/noir-wasm-browser-poc,0,1,1,1,2023-10-17,TypeScript,1
NikolayKostadinov21/learning-hub,0,0,0,3,2024-07-30,Solidity,1
ximon-x/eazzzy,0,0,0,0,2024-11-27,TypeScript,1
ClarifiedLabs/aztec-issue-9384,0,0,0,0,2024-10-25,TypeScript,1
qpzm/noir-tutorial,0,0,0,0,2024-10-25,Noir,1
vibern0/circuit-breaker-mosaic,0,0,0,0,2024-02-14,TypeScript,1
TobiasLoader/zk-playground,0,0,0,0,2024-07-26,Shell,1
Mach-34/z-imburse,0,0,10,29,2024-11-09,Noir,2
Cheetah0x/publicGroups,0,0,0,0,2024-10-07,Noir,1
holyaustin/ZK-Whistle,0,0,0,0,2024-02-18,Solidity,1
Cheetah0x/AccountContract,0,0,0,0,2024-10-31,TypeScript,1
berkingurcan/Whistec,0,0,0,2,2023-10-20,Roff,1
critesjosh/example-private-token,0,0,0,0,2023-09-11,Roff,1
simonbc/zkpayments,0,0,0,0,2023-08-23,Solidity,1
Apocentre/noir-libs,0,0,0,3,2023-11-30,Roff,1
RontoSOFT/noir-json-parser-examples,0,0,0,0,2023-12-03,Rust,1
RajeshRk18/Hmac_Sha256-verifier-noir,0,0,1,1,2024-06-11,Roff,1
alpinevm/dyn-sha256-noir,0,0,0,0,2024-06-21,Roff,1
vlayer-xyz/noir-assertions-order-repro,0,0,0,0,2024-02-21,Roff,1
anudit/noir-single,0,0,0,0,2024-10-16,Solidity,1
eliashezron/noirProjects,0,0,0,0,2024-02-26,Solidity,1
benjaminbollen/community-circles,0,0,0,0,2023-11-11,Roff,2
ultralane/circuits,0,0,0,0,2024-03-15,Roff,1
hashcloak/noir-bigint,0,0,0,4,2024-08-02,Roff,2
palutz/Noir_workshops,0,0,0,0,2024-04-16,Roff,1
MatteoMer/noir-poseidon,0,0,0,0,2024-02-16,Roff,1
Philogy/noirder-book,0,0,0,0,2023-10-10,Roff,1
only4sim/Noir-KZG,0,0,0,0,2023-10-22,Roff,1
mysteryon88/zk-hashes,0,0,0,0,2024-03-20,Circom,1
mkaihara/zk-merkle-proofs-noir,0,0,0,0,2024-11-01,Solidity,1
tsujp/sanity_mre,0,0,0,0,2023-08-08,TypeScript,1
zk-bankai/zk-Krum,0,1,0,0,2023-12-05,Solidity,1
HaMMeRSI/ZKStuff,0,0,0,0,2023-12-02,TypeScript,1
acgodson/siren-ai,0,0,0,0,2024-09-05,TypeScript,1
rajeshb62/aztec-experiment,0,0,0,0,2024-12-14,TypeScript,2
Cheetah0x/aztec-blackjack,0,0,0,0,2024-11-30,Noir,1
Trivo25/noir-ethistanbul,0,0,0,0,2023-11-18,Roff,1
leungy23/yesir,0,0,0,0,2023-06-11,Solidity,1
adachi-440/learn-noir,0,0,0,0,2023-09-09,Solidity,1
