Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
leolimasa/leolang,0,0,0,0,2023-09-29,Rust,1
40323139/2016springcd_aG10,0,2,0,0,2016-06-24,HTML,7
glenn222/Gr10Project-ChurchWebsite,0,0,0,0,2016-01-07,CSS,1
alex-1q84/learn-racket,0,0,0,0,2024-10-23,Racket,1
hbt/leo-editor2,0,0,0,0,2023-04-01,Python,24
Natssh7/hyprfiles,0,0,0,0,2024-11-30,TypeScript,1
FaePacocha/bubblesort,0,0,0,0,2023-12-30,,1
dev-sptg/solid_zinc_quiver_croissant,0,0,0,0,2024-08-30,,1
jbmunro4/webdev-tests,0,0,0,0,2014-02-07,,1
mdibaiee/blogs-corpus,0,5,0,0,2019-04-14,,1
jaspersong/CS4120_Project,0,0,0,0,2020-04-19,Jupyter Notebook,1
LeonardoRoG/ProyectoBlog,0,0,0,0,2024-04-24,CSS,1
2014c2g1/c2g1,0,0,0,0,2014-06-09,Python,2
2014c2g12/c2g12,0,0,0,0,2014-05-19,Python,3
shrunyan/django-day,0,0,0,0,2013-10-24,Python,1
40323203/bg4_cdw11,0,4,0,0,2016-06-02,HTML,5
Dozie2001/Leo_Node,0,0,0,0,2024-01-11,Rust,1
Collective-Intelligence-Labs/zk-agents-matching,0,0,0,0,2024-02-17,JavaScript,1
teukufaiz/testseqt,0,0,0,0,2024-06-11,Jupyter Notebook,1
0chonko/HPC-net-bench,0,0,0,0,2024-09-24,C,1
raviyadav7522/tictactoe,0,0,0,0,2023-12-08,Rust,18
frekeB/Aloe,0,0,0,0,2024-01-05,Rust,1
Thintalltom/Aleo-tictack,0,0,0,0,2023-12-17,Rust,18
2014cdbg7/2014cdbg7,0,0,0,0,2014-06-25,Python,2
